date,Lottery_result,year,Num,5year,2018,2019,2020,2021,2022,2018,2019,2020,2021,2022,max
2019/5/7,705,2019,344,0,0,0,0,0,0,,,,,,
2019/5/8,451,2019,345,2,0,0,1,1,0,,,,,,
2019/5/9,983,2019,346,1,0,0,1,0,0,,,,,,
2019/5/10,776,2019,347,3,1,0,0,1,1,,,,,,
2019/5/13,482,2019,348,3,0,0,1,0,2,,,,,,
2019/5/14,856,2019,349,3,1,2,0,0,0,,,,,,
2019/5/15,314,2019,350,3,2,0,1,0,0,,,,,,
2019/5/16,129,2019,351,1,0,0,0,1,0,,,,,,
2019/5/17,647,2019,352,2,2,0,0,0,0,,,,,,
2019/5/20,25,2019,353,2,0,0,0,1,1,,,,,,
2019/5/21,193,2019,354,0,0,0,0,0,0,,,,,,
2019/5/22,522,2019,355,4,1,0,0,1,2,,,,,,
2019/5/23,381,2019,356,0,0,0,0,0,0,,,,,,
2019/5/24,682,2019,357,2,0,0,0,2,0,,,,,,
2019/5/27,718,2019,358,2,0,0,1,0,1,,,,,,
2019/5/28,77,2019,359,1,0,0,0,0,1,,,,,,
2019/5/29,779,2019,360,0,0,0,0,0,0,,,,,,
2019/5/30,731,2019,361,2,1,1,0,0,0,,,,,,
2019/5/31,943,2019,362,0,0,0,0,0,0,,,,,,
2019/6/3,383,2019,363,3,1,1,0,1,0,,,,,,
2019/6/4,755,2019,364,1,0,0,1,0,0,,,,,,
2019/6/5,342,2019,365,4,1,0,2,1,0,,,,,,
2019/6/6,856,2019,366,2,0,1,1,0,0,,,,,,
2019/6/7,397,2019,367,1,0,0,0,1,0,,,,,,
2019/6/10,814,2019,368,2,2,0,0,0,0,,,,,,
2019/6/11,80,2019,369,2,0,0,0,2,0,,,,,,
2019/6/12,246,2019,370,1,0,0,0,0,1,,,,,,
2019/6/13,560,2019,371,1,1,0,0,0,0,,,,,,
2019/6/14,683,2019,372,4,1,0,1,0,2,,,,,,
2019/6/17,226,2019,373,1,0,1,0,0,0,,,,,,
2019/6/18,55,2019,374,0,0,0,0,0,0,,,,,,
2019/6/19,377,2019,375,0,0,0,0,0,0,,,,,,
2019/6/20,942,2019,376,2,0,0,2,0,0,,,,,,
2019/6/21,180,2019,377,3,0,1,1,0,1,,,,,,
2019/6/24,11,2019,378,3,0,1,1,1,0,,,,,,
2019/6/25,957,2019,379,1,1,0,0,0,0,,,,,,
2019/6/26,720,2019,380,0,0,0,0,0,0,,,,,,
2019/6/27,928,2019,381,1,0,1,0,0,0,,,,,,
2019/6/28,202,2019,382,1,1,0,0,0,0,,,,,,
2019/7/1,937,2019,383,2,0,1,1,0,0,,,,,,
2019/7/2,214,2019,384,1,1,0,0,0,0,,,,,,
2019/7/3,297,2019,385,1,0,0,0,1,0,,,,,,
2019/7/4,951,2019,386,2,0,0,1,0,1,,,,,,
2019/7/5,782,2019,387,1,0,0,0,0,1,,,,,,
2019/7/8,458,2019,388,1,0,0,0,1,0,,,,,,
2019/7/9,739,2019,389,1,0,0,0,1,0,,,,,,
2019/7/10,763,2019,390,0,0,0,0,0,0,,,,,,
2019/7/11,736,2019,391,3,0,1,1,0,1,,,,,,
2019/7/12,273,2019,392,1,0,1,0,0,0,,,,,,
2019/7/15,47,2019,393,2,1,1,0,0,0,,,,,,
2019/7/16,502,2019,394,4,0,0,0,0,4,,,,,,
2019/7/17,42,2019,395,0,0,0,0,0,0,,,,,,
2019/7/18,808,2019,396,0,0,0,0,0,0,,,,,,
2019/7/19,503,2019,397,2,0,1,1,0,0,,,,,,
2019/7/22,60,2019,398,3,0,0,0,3,0,,,,,,
2019/7/23,463,2019,399,1,1,0,0,0,0,,,,,,
2019/7/24,799,2019,400,1,0,0,0,1,0,,,,,,
2019/7/25,64,2019,401,0,0,0,0,0,0,,,,,,
2019/7/26,519,2019,402,1,1,0,0,0,0,,,,,,
2019/7/29,477,2019,403,0,0,0,0,0,0,,,,,,
2019/7/30,195,2019,404,0,0,0,0,0,0,,,,,,
2019/7/31,980,2019,405,1,1,0,0,0,0,,,,,,
2019/8/1,79,2019,406,1,0,0,1,0,0,,,,,,
2019/8/2,791,2019,407,0,0,0,0,0,0,,,,,,
2019/8/5,687,2019,408,1,0,0,0,0,1,,,,,,
2019/8/6,912,2019,409,1,0,0,1,0,0,,,,,,
2019/8/7,975,2019,410,0,0,0,0,0,0,,,,,,
2019/8/8,859,2019,411,2,1,0,0,0,1,,,,,,
2019/8/9,613,2019,412,1,0,0,0,1,0,,,,,,
2019/8/12,596,2019,413,4,2,1,0,1,0,,,,,,
2019/8/13,426,2019,414,1,0,0,0,0,1,,,,,,
2019/8/14,882,2019,415,5,1,0,1,2,1,,,,,,
2019/8/15,557,2019,416,0,0,0,0,0,0,,,,,,
2019/8/16,254,2019,417,0,0,0,0,0,0,,,,,,
2019/8/19,9,2019,418,1,0,0,0,1,0,,,,,,
2019/8/20,554,2019,419,1,0,0,0,1,0,,,,,,
2019/8/21,430,2019,420,0,0,0,0,0,0,,,,,,
2019/8/22,297,2019,421,1,0,0,1,0,0,,,,,,
2019/8/23,633,2019,422,0,0,0,0,0,0,,,,,,
2019/8/26,848,2019,423,0,0,0,0,0,0,,,,,,
2019/8/27,680,2019,424,2,0,0,1,0,1,,,,,,
2019/8/28,246,2019,425,0,0,0,0,0,0,,,,,,
2019/8/29,856,2019,426,2,0,1,0,1,0,,,,,,
2019/8/30,43,2019,427,0,0,0,0,0,0,,,,,,
2019/9/2,971,2019,428,2,0,0,1,0,1,,,,,,
