cols,importance,model_name,model_target
store_北千住店,0.00045828474906253123,RandomForest,y_weekday
store_坂戸店,0.0004541636853055645,RandomForest,y_weekday
store_伊勢崎店,0.0004496495665945864,RandomForest,y_weekday
store_秦野店,0.000447915708689824,RandomForest,y_weekday
store_都筑店,0.00044644433168069804,RandomForest,y_weekday
store_赤坂店,0.00044619990660591625,RandomForest,y_weekday
store_多摩店,0.00044139350381054314,RandomForest,y_weekday
store_東尾久店,0.0004403230274633959,RandomForest,y_weekday
store_青梅店,0.00044006130351120185,RandomForest,y_weekday
store_伊勢原店,0.0004392094255360805,RandomForest,y_weekday
store_銀座店,0.00043916292687498404,RandomForest,y_weekday
store_宇都宮店,0.000438261246368722,RandomForest,y_weekday
store_新宿店,0.0004380029724190581,RandomForest,y_weekday
store_石神井店,0.0004341774875644149,RandomForest,y_weekday
store_中原店,0.00043323775856071934,RandomForest,y_weekday
store_足利店,0.00042918992226430205,RandomForest,y_weekday
store_あきる野店,0.00042887250455636073,RandomForest,y_weekday
store_調布店,0.0004278214683145918,RandomForest,y_weekday
store_つくば店,0.0004255734245146822,RandomForest,y_weekday
store_横浜南店,0.0004254896562132436,RandomForest,y_weekday
store_本庄店,0.00042274617021156305,RandomForest,y_weekday
store_大塚店,0.000421972899070875,RandomForest,y_weekday
store_向島店,0.00042171113541454537,RandomForest,y_weekday
store_佐野店,0.0004183034285121653,RandomForest,y_weekday
store_海老名店,0.00041822557764633977,RandomForest,y_weekday
store_青山店,0.0004178386693788457,RandomForest,y_weekday
store_所沢店,0.0004176943361706818,RandomForest,y_weekday
store_荻窪店,0.00041396710749457954,RandomForest,y_weekday
store_草加店,0.0004122814959531357,RandomForest,y_weekday
store_藤沢店,0.00041184009671832943,RandomForest,y_weekday
store_我孫子店,0.00040955627121358896,RandomForest,y_weekday
store_入間店,0.0004084797521465348,RandomForest,y_weekday
store_那珂店,0.00040809574891758444,RandomForest,y_weekday
store_国分寺店,0.00040724744625082293,RandomForest,y_weekday
store_瀬谷店,0.0004026123315153355,RandomForest,y_weekday
store_中野店,0.0004023049236851351,RandomForest,y_weekday
store_大森店,0.00040188101888716823,RandomForest,y_weekday
store_習志野店,0.0003991049785472037,RandomForest,y_weekday
store_高田馬場店,0.000398318071407038,RandomForest,y_weekday
store_東久留米店,0.00039764530564907627,RandomForest,y_weekday
store_清瀬店,0.0003857674844180289,RandomForest,y_weekday
store_上野店,0.00038423307444450074,RandomForest,y_weekday
store_国立店,0.0003798309528321083,RandomForest,y_weekday
store_和光店,0.00037890400039880236,RandomForest,y_weekday
store_恵比寿店,0.000368148986802184,RandomForest,y_weekday
store_羽村店,0.00036241038987434344,RandomForest,y_weekday
store_蒲田店,0.000361885410533306,RandomForest,y_weekday
store_狭山店,0.00036027839806031345,RandomForest,y_weekday
store_西多摩店,0.00035779127435367226,RandomForest,y_weekday
store_君津店,0.0003572694727055769,RandomForest,y_weekday
store_千葉緑店,0.00035644589606277405,RandomForest,y_weekday
store_九段店,0.000354527871748237,RandomForest,y_weekday
store_茅ヶ崎店,0.00035440775869613743,RandomForest,y_weekday
store_富里店,0.0003518130389328161,RandomForest,y_weekday
store_代々木店,0.0003443846280770558,RandomForest,y_weekday
store_逗子店,0.0003442319301024266,RandomForest,y_weekday
store_王子店,0.0003430497053214918,RandomForest,y_weekday
store_神奈川店,0.00034268604142710565,RandomForest,y_weekday
store_水戸店,0.0003375675113765717,RandomForest,y_weekday
store_六本木店,0.00033181012191132965,RandomForest,y_weekday
store_鎌倉店,0.00032976458938428966,RandomForest,y_weekday
store_中店,0.0003297514227777978,RandomForest,y_weekday
store_足立店,0.0003279492826440567,RandomForest,y_weekday
store_赤羽店,0.0003229925662991999,RandomForest,y_weekday
store_高崎店,0.00031354748810134044,RandomForest,y_weekday
store_渋谷店,0.00030982315955543774,RandomForest,y_weekday
store_佐倉店,0.0003082254014890592,RandomForest,y_weekday
store_小山店,0.00030791001305676677,RandomForest,y_weekday
store_成田店,0.00030453174358200644,RandomForest,y_weekday
